seq. no, ticks, relative time (s)
1,38,0.296
3,204,1.593
5,370,2.890
7,537,4.195
13,1036,8.093
21,1701,13.289
25,2034,15.890
27,2201,17.195
29,2367,18.492
33,2700,21.093
39,3199,24.992
45,3698,28.890
47,3864,30.187
55,4530,35.390
59,4863,37.992
61,5029,39.289
63,5195,40.585
65,5362,41.890
67,5528,43.187
69,5695,44.492
77,6360,49.687
79,6527,50.992
83,6859,53.585
85,7026,54.890
93,7691,60.085
95,7858,61.390
97,8024,62.687
101,8357,65.289
103,8523,66.585
107,8856,69.187
109,9022,70.484
111,9189,71.789
113,9355,73.085
115,9522,74.390
117,9688,75.687
121,10021,78.289
125,10353,80.882
131,10853,84.789
133,11019,86.085
135,11185,87.382
139,11518,89.984
143,11851,92.585
145,12017,93.882
147,12184,95.187
151,12516,97.781
155,12849,100.382
157,13016,101.687
169,14014,109.484
171,14180,110.781
177,14679,114.679
181,15012,117.281
185,15345,119.882
187,15511,121.179
197,16343,127.679
199,16510,128.984
203,16842,131.578
205,17009,132.882
207,17175,134.179
211,17508,136.781
215,17841,139.382
221,18340,143.281
225,18673,145.882
227,18839,147.179
231,19172,149.781
239,19837,154.976
241,20004,156.281
243,20170,157.578
247,20503,160.179
251,20836,162.781
255,21168,165.375
257,21335,166.679
259,21501,167.976
263,21834,170.578
265,22000,171.875
273,22666,177.078
277,22999,179.679
281,23331,182.273
295,24496,191.375
299,24829,193.976
301,24995,195.273
307,25494,199.171
309,25661,200.476
311,25827,201.773
317,26326,205.671
321,26659,208.273
323,26826,209.578
331,27491,214.773
335,27824,217.375
337,27990,218.671
339,28157,219.976
343,28489,222.570
347,28822,225.171
351,29155,227.773
353,29321,229.070
355,29488,230.375
357,29654,231.671
359,29820,232.968
361,29987,234.273
363,30153,235.570
371,30819,240.773
373,30985,242.070
381,31651,247.273
387,32150,251.171
389,32316,252.468
391,32483,253.773
393,32649,255.070
399,33148,258.968
401,33315,260.273
407,33814,264.171
409,33980,265.468
417,34646,270.671
423,35145,274.570
435,36143,282.367
441,36642,286.265
443,36809,287.570
445,36975,288.867
447,37141,290.164
449,37308,291.468
463,38472,300.562
469,38972,304.468
471,39138,305.765
479,39804,310.968
483,40136,313.562
485,40303,314.867
487,40469,316.164
491,40802,318.765
497,41301,322.664
511,42466,331.765
519,43131,336.960
523,43464,339.562
525,43630,340.859
529,43963,343.460
533,44296,346.062
535,44462,347.359
539,44795,349.960
541,44961,351.257
545,45294,353.859
547,45461,355.164
551,45793,357.757
555,46126,360.359
557,46293,361.664
561,46625,364.257
565,46958,366.859
569,47291,369.460
581,48289,377.257
587,48788,381.156
589,48955,382.460
593,49287,385.054
595,49454,386.359
601,49953,390.257
603,50119,391.554
605,50286,392.859
619,51450,401.953
621,51617,403.257
635,52782,412.359
647,53780,420.156
649,53946,421.453
651,54113,422.757
657,54612,426.656
663,55111,430.554
667,55444,433.156
671,55776,435.750
673,55943,437.054
677,56276,439.656
679,56442,440.953
681,56608,442.250
683,56775,443.554
689,57274,447.453
691,57440,448.750
695,57773,451.351
699,58106,453.953
709,58938,460.453
717,59603,465.648
721,59936,468.250
725,60269,470.851
727,60435,472.148
731,60768,474.750
733,60934,476.046
737,61267,478.648
743,61766,482.546
745,61933,483.851
747,62099,485.148
751,62432,487.750
755,62765,490.351
763,63430,495.546
765,63597,496.851
769,63929,499.445
771,64096,500.750
775,64428,503.343
779,64761,505.945
781,64928,507.250
783,65094,508.546
785,65260,509.843
787,65427,511.148
793,65926,515.046
795,66092,516.343
803,66758,521.546
807,67091,524.148
809,67257,525.445
817,67923,530.648
819,68089,531.945
821,68255,533.242
825,68588,535.843
829,68921,538.445
831,69087,539.742
835,69420,542.343
839,69753,544.945
841,69919,546.242
847,70418,550.140
849,70585,551.445
853,70917,554.039
855,71084,555.343
859,71417,557.945
863,71749,560.539
865,71916,561.843
867,72082,563.140
871,72415,565.742
877,72914,569.640
879,73080,570.937
883,73413,573.539
885,73580,574.843
887,73746,576.140
889,73912,577.437
891,74079,578.742
895,74412,581.343
901,74911,585.242
905,75243,587.835
907,75410,589.140
909,75576,590.437
911,75743,591.742
917,76242,595.640
